match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,0.1,Papua New Guinea,Afghanistan,TP Ura,A Vala,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,0.2,Papua New Guinea,Afghanistan,TP Ura,A Vala,Fazalhaq Farooqi,2,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,0.3,Papua New Guinea,Afghanistan,TP Ura,A Vala,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,0.4,Papua New Guinea,Afghanistan,TP Ura,A Vala,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,0.5,Papua New Guinea,Afghanistan,TP Ura,A Vala,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,0.6,Papua New Guinea,Afghanistan,TP Ura,A Vala,Fazalhaq Farooqi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,1.1,Papua New Guinea,Afghanistan,TP Ura,A Vala,Mohammad Nabi,4,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,1.2,Papua New Guinea,Afghanistan,TP Ura,A Vala,Mohammad Nabi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,1.3,Papua New Guinea,Afghanistan,A Vala,TP Ura,Mohammad Nabi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,1.4,Papua New Guinea,Afghanistan,TP Ura,A Vala,Mohammad Nabi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,1.5,Papua New Guinea,Afghanistan,A Vala,TP Ura,Mohammad Nabi,2,0,,,,,,run out,A Vala,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,1.6,Papua New Guinea,Afghanistan,TP Ura,L Siaka,Mohammad Nabi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,2.1,Papua New Guinea,Afghanistan,L Siaka,TP Ura,Fazalhaq Farooqi,0,0,,,,,,caught,L Siaka,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,2.2,Papua New Guinea,Afghanistan,S Bau,TP Ura,Fazalhaq Farooqi,0,0,,,,,,caught,S Bau,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,2.3,Papua New Guinea,Afghanistan,H Hiri,TP Ura,Fazalhaq Farooqi,0,4,,,,4,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,2.4,Papua New Guinea,Afghanistan,H Hiri,TP Ura,Fazalhaq Farooqi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,2.5,Papua New Guinea,Afghanistan,TP Ura,H Hiri,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,2.6,Papua New Guinea,Afghanistan,TP Ura,H Hiri,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.1,Papua New Guinea,Afghanistan,H Hiri,TP Ura,Naveen-ul-Haq,0,0,,,,,,bowled,H Hiri,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.2,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.3,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,1,1,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.4,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.5,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.6,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,3.7,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.1,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Fazalhaq Farooqi,0,5,5,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.2,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.3,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Fazalhaq Farooqi,0,1,,,,1,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.4,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Fazalhaq Farooqi,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.5,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Fazalhaq Farooqi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.6,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Fazalhaq Farooqi,0,2,,,,2,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,4.7,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Fazalhaq Farooqi,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,5.1,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Naveen-ul-Haq,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,5.2,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,5.3,Papua New Guinea,Afghanistan,CA Soper,TP Ura,Naveen-ul-Haq,1,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,5.4,Papua New Guinea,Afghanistan,TP Ura,CA Soper,Naveen-ul-Haq,0,0,,,,,,bowled,TP Ura,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,5.5,Papua New Guinea,Afghanistan,K Doriga,CA Soper,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,5.6,Papua New Guinea,Afghanistan,K Doriga,CA Soper,Naveen-ul-Haq,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,6.1,Papua New Guinea,Afghanistan,CA Soper,K Doriga,Rashid Khan,0,0,,,,,,,,,
1415729,2024,2024-06-13,"Brian Lara Stadium, Tarouba, Trinidad",1,6.2,Papua New Guinea,Afghanistan,CA Soper,K Doriga,Rashid Khan,0,0,,,,,,,,,
