Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
W Wotu (VAN),6,6,1,35,25*,7.00,36,97.22,0,0,4,1,2,2024
W Wotu (VAN),5,5,1,72,19,18.00,66,109.09,0,0,0,3,6,2023/24
W Wotu (VAN),2,2,1,15,12,15.00,10,150.00,0,0,0,1,1,2022/23
W Wotu (VAN),1,1,0,8,8,8.00,8,100.00,0,0,0,0,1,2023
W Wotu (VAN),4,2,0,28,24,14.00,26,107.69,0,0,0,1,2,2022
W Viraliliu (VAN),4,2,1,5,4,5.00,6,83.33,0,0,0,0,0,2019/20
W Viraliliu (VAN),5,4,2,26,13*,13.00,16,162.50,0,0,0,3,2,2019
W Viraliliu (VAN),1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,2018/19
W Uisuk (THA),4,4,0,11,5,2.75,40,27.50,0,0,0,1,0,2019/20
W Perchard (JER),1,1,1,3,3*,-,2,150.00,0,0,0,0,0,2024
W O'Rourke (NZ),3,1,0,0,0,0.00,0,-,0,0,1,0,0,2024
W Nkosana (BOT),1,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
W Niyitanga (RWN),7,7,1,62,24*,10.33,89,69.66,0,0,0,7,1,2024/25
W Niyitanga (RWN),7,7,0,36,21,5.14,86,41.86,0,0,2,2,0,2023/24
W Niyitanga (RWN),24,23,2,296,55*,14.09,319,92.78,0,1,3,19,10,2022/23
W Niyitanga (RWN),1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,2021/22
W Niyitanga (RWN),19,19,2,308,53,18.11,348,88.5,0,1,0,18,10,2023
W Niyitanga (RWN),3,3,0,4,4,1.33,7,57.14,0,0,2,1,0,2021
W Ngowhuad (THA),1,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
W Ngowhuad (THA),1,1,0,0,0,0.00,2,0.0,0,0,1,0,0,2024
W Nalisa (VAN),5,4,3,28,12*,28.00,33,84.84,0,0,0,1,0,2023/24
W Nalisa (VAN),3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2019/20
W Nalisa (VAN),3,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
W Nalisa (VAN),5,4,1,40,31*,13.33,29,137.93,0,0,0,6,0,2024
W Nalisa (VAN),6,3,1,5,3*,2.50,8,62.5,0,0,0,0,0,2023
W Nalisa (VAN),6,1,0,7,7,7.00,4,175.00,0,0,0,0,1,2022
W Nalisa (VAN),3,2,2,2,1*,-,3,66.66,0,0,0,0,0,2019
W Miyauchi (JPN),6,6,1,104,50,20.80,104,100.00,0,1,0,13,0,2023/24
W Miyauchi (JPN),12,8,2,166,72,27.66,150,110.66,0,1,1,15,1,2024
W Miyauchi (JPN),5,5,0,28,18,5.60,40,70.0,0,0,0,1,0,2023
W McClintock (IRE),2,2,0,10,9,5.00,17,58.82,0,0,0,0,0,2021/22
W McClintock (IRE),3,2,1,24,15*,24.00,21,114.28,0,0,0,4,0,2021
W Maximo (BRA),1,1,0,25,25,25.00,23,108.69,0,0,0,3,0,2024/25
W Madhevere (ZIM),4,2,0,21,13,10.50,15,140.00,0,0,0,1,1,2024/25
W Madhevere (ZIM),13,10,3,127,25,18.14,118,107.62,0,0,0,10,3,2023/24
W Madhevere (ZIM),11,11,1,125,35*,12.50,113,110.61,0,0,2,16,2,2022/23
W Madhevere (ZIM),5,5,1,112,70*,28.00,92,121.73,0,1,0,14,2,2020/21
W Madhevere (ZIM),2,2,0,4,4,2.00,6,66.66,0,0,1,0,0,2019/20
W Madhevere (ZIM),5,5,0,90,43,18.00,90,100.0,0,0,1,10,1,2024
W Madhevere (ZIM),15,15,2,347,73*,26.69,273,127.10,0,3,0,46,2,2022
W Madhevere (ZIM),14,14,0,332,73,23.71,278,119.42,0,3,2,33,5,2021
W Landman (SWZ),3,3,0,9,5,3.00,13,69.23,0,0,0,0,0,2023
W Kokaua (COK),5,2,1,6,4,6.00,11,54.54,0,0,0,0,0,2022
W Jackson (MWI),2,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
W Jackson (MWI),2,1,0,1,1,1.00,7,14.28,0,0,0,0,0,2023
W Dlamini (SWZ),3,2,0,6,4,3.00,12,50.00,0,0,0,0,0,2022/23
W Dlamini (SWZ),5,5,0,24,12,4.80,22,109.09,0,0,0,4,0,2022
W Boshoff (SWE),5,4,0,35,16,8.75,47,74.46,0,0,1,3,0,2023
W Boshoff (SWE),8,6,0,81,40,13.50,96,84.37,0,0,0,4,2,2022
W Boshoff (SWE),7,7,0,83,32,11.85,100,83.00,0,0,1,6,0,2021
W Barresi (NED),2,2,0,8,8,4.00,9,88.88,0,0,1,1,0,2024
W Barresi (NED),2,1,1,5,5*,-,2,250.00,0,0,0,1,0,2023/24
W Barresi (NED),2,2,0,12,8,6.00,21,57.14,0,0,0,1,0,2019
W Barresi (NED),2,2,1,23,20*,23.00,25,92.00,0,0,0,3,0,2018/19
W Barresi (NED),3,3,1,102,53*,51.00,80,127.50,0,1,0,10,1,2018
W Barresi (NED),3,3,0,66,48,22.00,78,84.61,0,0,0,5,1,2016/17
W Barresi (NED),5,4,0,78,48,19.50,73,106.84,0,0,0,4,3,2015/16
W Barresi (NED),8,8,0,158,75,19.75,114,138.59,0,1,0,17,7,2015
W Barresi (NED),11,11,3,316,75*,39.50,237,133.33,0,2,1,26,9,2013/14
W Barresi (NED),2,2,1,3,3*,3.00,7,42.85,0,0,1,0,0,2013
W Barresi (NED),2,2,0,13,13,6.50,20,65.00,0,0,1,2,0,2012
W Barresi (NED),4,4,0,28,14,7.00,40,70.00,0,0,0,1,0,2011/12
Vraj Patel (KENYA),5,1,1,1,1*,-,6,16.66,0,0,0,0,0,2024/25
Vraj Patel (KENYA),10,-,-,-,-,-,-,-,-,-,-,-,-,2024
Vraj Patel (KENYA),6,2,1,4,4*,4.00,4,100.00,0,0,1,0,0,2023/24
Vraj Patel (KENYA),7,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
Vraj Patel (KENYA),3,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
Vraj Patel (KENYA),9,-,-,-,-,-,-,-,-,-,-,-,-,2023
