Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
S Dhawan (IND),10,9,0,333,92,37.00,252,132.14,0,2,0,35,9,2018/19
S Dhawan (IND),4,4,0,93,74,23.25,64,145.31,0,1,0,8,5,2018
S Dhawan (IND),13,13,1,445,90,37.08,309,144.01,0,4,0,47,16,2017/18
S Dhawan (IND),1,1,0,23,23,23.00,12,191.66,0,0,0,5,0,2017
S Dhawan (IND),16,16,2,315,60,22.50,272,115.80,0,2,0,37,10,2015/16
S Dhawan (IND),1,1,0,33,33,33.00,28,117.85,0,0,0,2,2,2014
S Dhawan (IND),4,4,0,63,32,15.75,56,112.50,0,0,1,10,0,2013/14
S Dhawan (IND),1,1,0,5,5,5.00,11,45.45,0,0,0,0,0,2011
S Dhawan (IND),3,3,0,86,46,28.66,79,108.86,0,0,1,9,1,2021
S Dhawan (IND),3,3,0,27,23,9.00,28,96.42,0,0,0,3,0,2019
S Dhaniram (CAN),4,3,0,23,18,7.66,24,95.83,0,0,0,1,0,2009/10
S Dhaniram (CAN),4,4,0,45,17,11.25,71,63.38,0,0,0,2,2,2008/09
S Dhaniram (CAN),3,2,0,32,26,16.00,28,114.28,0,0,0,3,0,2008
S Dhakal (NEP),2,1,1,0,0*,-,1,0.00,0,0,0,0,0,2024/25
S Dhakal (NEP),1,1,1,0,0*,-,3,0.0,0,0,0,0,0,2023/24
S Dhakal (NEP),2,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
S Dhakal (NEP),1,1,1,0,0*,-,1,0.0,0,0,0,0,0,2024
S Desungnoen (THA),3,3,0,17,11,5.66,35,48.57,0,0,1,1,0,2023/24
S Desungnoen (THA),2,2,2,3,2*,-,5,60.00,0,0,0,0,0,2019/20
S Desungnoen (THA),8,8,1,76,27,10.85,77,98.70,0,0,2,8,1,2023
S Desungnoen (THA),5,5,0,12,6,2.40,48,25.00,0,0,1,0,0,2022
S Delai (Fiji),1,1,0,16,16,16.00,29,55.17,0,0,0,3,0,2022
S Davizi (CZK-R),1,-,-,-,-,-,-,-,-,-,-,-,-,2024
S Davizi (CZK-R),4,4,0,45,27,11.25,63,71.42,0,0,0,5,0,2020
S Davizi (CZK-R),2,2,0,192,101,96.00,133,144.36,1,1,0,14,10,2019/20
S Davizi (CZK-R),3,3,0,56,50,18.66,49,114.28,0,1,0,8,1,2023
S Davizi (CZK-R),15,15,3,612,115*,51.00,418,146.41,2,2,0,69,22,2022
S Davizi (CZK-R),7,7,0,244,57,34.85,164,148.78,0,2,1,28,7,2021
S Daniel (SL),1,1,0,9,9,9.00,6,150.00,0,0,0,2,0,2023
S Dalton (CZK-R),1,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
S Dalton (CZK-R),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2019
S Crowie (STHEL),7,5,1,54,28,13.50,78,69.23,0,0,0,3,0,2022/23
S Conteh (SLE),12,4,1,16,9*,5.33,25,64.00,0,0,0,1,0,2023/24
S Conteh (SLE),6,3,0,9,9,3.00,11,81.81,0,0,2,1,0,2022/23
S Conteh (SLE),10,10,0,95,34,9.50,158,60.12,0,0,3,7,0,2021/22
S Clarke (IOM),1,1,0,0,0,0.00,3,0.0,0,0,1,0,0,2024
S Chophel (BHU),1,1,1,2,2*,-,5,40.00,0,0,0,0,0,2019/20
S Chophel (BHU),4,3,0,9,4,3.00,13,69.23,0,0,0,0,0,2023
S Chaudhary (CZK-R),2,-,-,-,-,-,-,-,-,-,-,-,-,2022
S Chaudhary (CZK-R),5,2,1,2,2,2.00,5,40.0,0,0,0,0,0,2024
S Chandramohan (SGP),8,8,1,212,82,30.28,160,132.50,0,2,0,25,9,2023/24
S Chandramohan (SGP),5,5,0,39,23,7.80,48,81.25,0,0,0,3,3,2022/23
S Chandramohan (SGP),12,12,0,331,66,27.58,278,119.06,0,2,3,33,11,2019/20
S Chandramohan (SGP),3,3,1,105,50*,52.50,88,119.31,0,1,0,11,5,2019
S Chandramohan (SGP),6,4,2,88,40,44.00,73,120.54,0,0,0,4,4,2024
S Chandramohan (SGP),13,13,0,281,100,21.61,225,124.88,1,0,1,22,15,2022
S Chanderpaul (WI),6,6,1,116,29,23.20,118,98.30,0,0,0,11,3,2010
S Chanderpaul (WI),1,1,0,20,20,20.00,30,66.66,0,0,0,1,0,2009/10
S Chanderpaul (WI),6,6,3,51,18*,17.00,47,108.51,0,0,0,5,0,2009
S Chanderpaul (WI),3,3,0,23,12,7.66,22,104.54,0,0,0,5,0,2008/09
S Chanderpaul (WI),4,4,1,66,37,22.00,77,85.71,0,0,0,4,2,2007/08
S Chanderpaul (WI),1,1,0,41,41,41.00,26,157.69,0,0,0,6,0,2007
S Chanderpaul (WI),1,1,0,26,26,26.00,27,96.29,0,0,0,2,0,2005/06
S Byrne (MLT),2,2,0,3,3,1.50,9,33.33,0,0,1,0,0,2019/20
S Burdekin (CYP),10,10,1,155,59,17.22,153,101.3,0,1,0,13,6,2024
S Browne (LUX),4,4,0,41,21,10.25,49,83.67,0,0,1,4,0,2020
S Bogdos (GRC),4,4,0,24,19,6.00,59,40.67,0,0,0,1,0,2022
S Bodha (GIBR),8,2,1,1,1,1.00,3,33.33,0,0,0,0,0,2024
S Bodha (GIBR),4,2,0,14,11,7.00,17,82.35,0,0,0,1,0,2023/24
S Bodha (GIBR),9,5,2,33,25,11.00,27,122.22,0,0,1,5,0,2023
S Bodha (GIBR),8,4,2,29,11*,14.50,23,126.08,0,0,0,1,1,2022
S Biko (KENYA),2,-,-,-,-,-,-,-,-,-,-,-,-,2022
S Bhari (NEP),8,5,3,1,1*,0.50,7,14.28,0,0,2,0,0,2019/20
S Bhari (NEP),1,-,-,-,-,-,-,-,-,-,-,-,-,2021
S Bau (PNG),4,4,0,67,50,16.75,80,83.75,0,1,1,8,1,2024
S Bau (PNG),8,8,2,195,65*,32.50,154,126.62,0,2,1,23,5,2023/24
S Bau (PNG),10,9,1,203,59,25.37,173,117.34,0,1,1,13,10,2021/22
S Bau (PNG),8,7,2,161,40*,32.20,162,99.38,0,0,0,10,4,2019/20
S Bau (PNG),5,3,0,46,26,15.33,46,100.00,0,0,0,3,2,2019
S Bau (PNG),4,1,0,33,33,33.00,24,137.50,0,0,0,4,0,2018/19
S Bau (PNG),3,3,1,69,30,34.50,60,115.00,0,0,0,4,2,2017
S Bau (PNG),3,3,0,47,25,15.66,46,102.17,0,0,1,0,3,2015/16
S Bau (PNG),4,3,0,1,1,0.33,4,25.00,0,0,2,0,0,2023
S Bau (PNG),7,7,1,136,41*,22.66,127,107.08,0,0,0,9,4,2022
S Barnett (IOM),2,2,0,3,3,1.50,10,30.00,0,0,1,0,0,2024
S Barediya (SWZ),2,2,0,19,17,9.50,25,76.00,0,0,0,2,0,2023
S Bantzas (GRC),1,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
S Bangera (ISR),5,5,0,42,13,8.40,62,67.74,0,0,0,2,0,2024
S Bangera (ISR),3,3,0,27,23,9.00,22,122.72,0,0,1,5,0,2022
S Banamali (SGP),5,2,1,9,8*,9.00,15,60.00,0,0,0,0,0,2023/24
S Badrinath (IND),1,1,0,43,43,43.00,37,116.21,0,0,0,5,0,2011
S Badree (WI/World),5,3,1,4,2,2.00,11,36.36,0,0,0,0,0,2017/18
S Badree (WI),7,3,2,10,7,10.00,8,125.00,0,0,0,0,1,2018
S Badree (WI),8,2,2,1,1*,-,3,33.33,0,0,0,0,0,2017
S Badree (WI),2,1,1,1,1*,-,1,100.00,0,0,0,0,0,2016/17
S Badree (WI),2,1,0,1,1,1.00,4,25.00,0,0,0,0,0,2016
S Badree (WI),6,1,1,2,2*,-,2,100.00,0,0,0,0,0,2015/16
S Badree (WI),2,-,-,-,-,-,-,-,-,-,-,-,-,2014
S Badree (WI),10,3,2,22,14*,22.00,31,70.96,0,0,0,1,0,2013/14
S Badree (WI),2,1,1,1,1*,-,1,100.00,0,0,0,0,0,2013
S Badree (WI),6,1,0,1,1,1.00,4,25.00,0,0,0,0,0,2012/13
S Badree (WI),2,-,-,-,-,-,-,-,-,-,-,-,-,2012
S Ateak (GHA),3,3,0,45,26,15.00,48,93.75,0,0,0,6,1,2019
S Ashwathnarayana (HUN),10,9,2,156,52,22.28,132,118.18,0,1,1,11,9,2022
S Ashwathnarayana (HUN),4,2,1,47,41*,47.00,30,156.66,0,0,0,3,2,2021
S Aravind (IND),1,-,-,-,-,-,-,-,-,-,-,-,-,2015/16
S Arachchige (ITA),4,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2019
S Appu (MLT),2,2,0,7,6,3.50,10,70.00,0,0,0,0,0,2019/20
S Appu (MLT),2,2,1,1,1,1.00,4,25.00,0,0,0,0,0,2019
S Adedeji (NGA),15,13,2,179,25,16.27,218,82.11,0,0,0,15,2,2023/24
S Adedeji (NGA),4,3,0,21,14,7.00,30,70.00,0,0,1,2,0,2022/23
S Adedeji (NGA),12,12,2,213,46,21.30,256,83.20,0,0,0,15,6,2021/22
S Adedeji (NGA),6,6,0,190,68,31.66,183,103.82,0,2,1,19,6,2021
S Adedeji (NGA),6,6,2,89,51*,22.25,114,78.07,0,1,1,5,2,2019/20
Rumman Raees (PAK),6,1,1,0,0*,-,0,-,0,0,0,0,0,2017/18
Rumman Raees (PAK),1,-,-,-,-,-,-,-,-,-,-,-,-,2017
Rumman Raees (PAK),1,-,-,-,-,-,-,-,-,-,-,-,-,2016/17
Rubel Hossain (BAN),1,1,1,3,3*,-,6,50.00,0,0,0,0,0,2020/21
Rubel Hossain (BAN),5,2,1,2,2*,2.00,5,40.00,0,0,1,0,0,2018
Rubel Hossain (BAN),8,5,3,3,2*,1.50,7,42.85,0,0,2,0,0,2017/18
Rubel Hossain (BAN),3,3,2,4,2*,4.00,5,80.00,0,0,0,0,0,2016/17
Rubel Hossain (BAN),1,-,-,-,-,-,-,-,-,-,-,-,-,2014
Rubel Hossain (BAN),3,2,1,0,0*,0.00,3,0.00,0,0,1,0,0,2013/14
Rubel Hossain (BAN),2,-,-,-,-,-,-,-,-,-,-,-,-,2012/13
Rubel Hossain (BAN),2,1,1,0,0*,-,5,0.00,0,0,0,0,0,2011/12
Rubel Hossain (BAN),3,1,1,8,8*,-,5,160.00,0,0,0,1,0,2009
Rony Talukdar (BAN),3,2,0,20,10,10.00,17,117.64,0,0,0,2,1,2023/24
Rony Talukdar (BAN),6,6,0,179,67,29.83,121,147.93,0,1,0,21,5,2022/23
Rony Talukdar (BAN),1,1,0,21,21,21.00,22,95.45,0,0,0,0,1,2015
Rony Talukdar (BAN),1,1,0,4,4,4.00,5,80.0,0,0,0,1,0,2023
Rokhan Barakzai (AFG),3,-,-,-,-,-,-,-,-,-,-,-,-,2015/16
Rohit Kumar (ROM),3,3,0,72,27,24.00,50,144.0,0,0,0,11,2,2023
Rohit Kumar (ROM),2,2,0,8,7,4.00,15,53.33,0,0,0,0,0,2022
Rohan Mustafa (UAE),3,2,1,22,22*,22.00,16,137.5,0,0,1,2,0,2022/23
Rohan Mustafa (UAE),1,-,-,-,-,-,-,-,-,-,-,-,-,2022
Rohan Mustafa (UAE),11,9,2,218,54,31.14,186,117.2,0,1,2,15,5,2021/22
Rohan Mustafa (UAE),13,13,1,281,51,23.41,208,135.09,0,1,1,36,7,2019/20
Rohan Mustafa (UAE),3,3,0,51,45,17.00,46,110.86,0,0,1,8,0,2018/19
Rohan Mustafa (UAE),3,3,0,16,9,5.33,13,123.07,0,0,0,3,0,2017
Rohan Mustafa (UAE),5,5,0,155,58,31.00,109,142.20,0,1,1,17,6,2016/17
Rohan Mustafa (UAE),12,12,0,203,77,16.91,186,109.13,0,1,1,21,9,2015/16
Rohan Mustafa (UAE),1,-,-,-,-,-,-,-,-,-,-,-,-,2015
Rohan Mustafa (UAE),3,3,1,37,20,18.50,35,105.71,0,0,0,2,0,2013/14
Rohan Mustafa (UAE),3,3,0,23,11,7.66,28,82.14,0,0,0,4,0,2019
Rohail Nazir (PAK),3,2,0,23,13,11.50,23,100.0,0,0,0,0,3,2023
Robiul Khan (ESP),1,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
Robiul Islam (BAN),1,-,-,-,-,-,-,-,-,-,-,-,-,2013
Robert Raina (THA),1,1,0,10,10,10.00,7,142.85,0,0,0,0,1,2024/25
Robert Raina (THA),6,2,0,23,17,11.50,10,230.00,0,0,0,3,1,2023/24
Robert Raina (THA),4,4,0,35,20,8.75,68,51.47,0,0,0,3,1,2019/20
Robert Raina (THA),4,2,0,42,42,21.00,31,135.48,0,0,1,7,0,2023
Rizwan Mangera (PAN),4,4,1,15,9,5.00,37,40.54,0,0,0,2,0,2021/22
Rizwan Mahmood (DEN),1,1,0,4,4,4.00,11,36.36,0,0,0,0,0,2023
Rizwan Mahmood (DEN),5,4,1,76,45,25.33,53,143.39,0,0,0,7,3,2022
Rizwan Mahmood (DEN),2,2,1,2,2*,2.00,6,33.33,0,0,1,0,0,2021
Rizwan Mahmood (DEN),5,4,0,76,37,19.00,61,124.59,0,0,0,3,3,2019
Rizwan Haider (MAS),3,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
Rizwan Haider (MAS),11,3,3,21,17*,-,15,140.0,0,0,0,0,2,2022/23
Rizwan Haider (MAS),9,2,1,10,7,10.00,9,111.11,0,0,0,0,1,2024
Rizwan Haider (MAS),8,2,1,1,1*,1.00,2,50.0,0,0,1,0,0,2023
Rizwan Cheema (CAN),2,2,0,25,20,12.50,27,92.59,0,0,0,2,0,2019/20
Rizwan Cheema (CAN),2,2,0,0,0,0.00,4,0.00,0,0,2,0,0,2013/14
Rizwan Cheema (CAN),2,2,0,14,9,7.00,16,87.50,0,0,0,3,0,2012/13
Rizwan Cheema (CAN),4,4,0,14,8,3.50,26,53.84,0,0,1,0,1,2011/12
Rizwan Cheema (CAN),4,4,1,83,34,27.66,69,120.28,0,0,0,10,4,2009/10
Rizwan Cheema (CAN),4,4,0,127,68,31.75,104,122.11,0,1,0,10,10,2008/09
Rizwan Cheema (CAN),6,6,1,126,72,25.20,68,185.29,0,1,2,8,13,2019
Rizwan Butt (BHR),2,1,1,1,1*,-,3,33.33,0,0,0,0,0,2024/25
Rizwan Butt (BHR),8,5,1,32,15,8.00,25,128.00,0,0,1,2,2,2023/24
Rizwan Butt (BHR),18,8,2,27,9*,4.50,33,81.81,0,0,1,2,0,2022/23
Rizwan Butt (BHR),4,2,0,29,17,14.50,24,120.83,0,0,0,0,3,2024
Rizwan Butt (BHR),5,4,2,53,34*,26.50,26,203.84,0,0,0,1,5,2023
Riyaz Kajalwala (CYP),2,2,1,1,1,1.00,9,11.11,0,0,0,0,0,2022
Ritik Tomar (CZK-R),5,5,0,78,37,15.60,91,85.71,0,0,0,7,2,2024
Ritik Tomar (CZK-R),2,1,0,4,4,4.00,2,200.0,0,0,0,1,0,2023
Ritik Tomar (CZK-R),15,14,4,171,38,17.10,124,137.90,0,0,2,13,7,2022
Rishad Hossain (BAN),3,3,0,20,11,6.66,19,105.26,0,0,1,3,1,2024/25
Rishad Hossain (BAN),6,3,0,63,53,21.00,45,140.00,0,1,1,0,7,2023/24
Rishad Hossain (BAN),1,1,0,8,8,8.00,7,114.28,0,0,0,0,1,2022/23
Rishad Hossain (BAN),15,9,2,57,24,8.14,39,146.15,0,0,1,5,4,2024
Rishad Hossain (BAN),2,-,-,-,-,-,-,-,-,-,-,-,-,2023
Riazat Ali Shah (UGA),2,1,0,3,3,3.00,5,60.00,0,0,0,0,0,2024/25
Riazat Ali Shah (UGA),9,6,1,137,47*,27.40,101,135.64,0,0,0,8,6,2023/24
Riazat Ali Shah (UGA),11,8,2,132,43*,22.00,110,120.0,0,0,1,10,5,2021/22
Riazat Ali Shah (UGA),4,4,0,49,33,12.25,111,44.14,0,0,0,1,0,2024
Riazat Ali Shah (UGA),10,10,3,176,43,25.14,128,137.5,0,0,2,14,9,2023
Riazat Ali Shah (UGA),13,13,5,409,98*,51.12,346,118.20,0,2,0,30,15,2022
Riazat Ali Shah (UGA),10,8,1,218,59,31.14,140,155.71,0,1,0,15,13,2021
Riazat Ali Shah (UGA),4,4,2,140,53*,70.00,108,129.62,0,1,0,8,8,2019
Riaz Afridi (CZK-R),1,1,0,3,3,3.00,9,33.33,0,0,0,0,0,2024
Riaz Afridi (CZK-R),3,2,0,12,11,6.00,7,171.42,0,0,0,1,1,2023
Rhys Burinaga (PHI),7,7,1,34,9,5.66,47,72.34,0,0,0,1,0,2024
Rehman Abdul (ITA),7,5,3,102,37*,51.00,103,99.02,0,0,0,7,3,2019
Rehan Ahmed (ENG),4,3,1,11,10*,5.50,7,157.14,0,0,1,1,1,2023/24
Rehan Ahmed (ENG),2,1,0,11,11,11.00,11,100.00,0,0,0,2,0,2022/23
Rehan Ahmed (ENG),1,1,0,11,11,11.00,7,157.14,0,0,0,0,1,2023
Razmal Shigiwal (Aut),10,9,0,198,57,22.00,176,112.5,0,1,0,21,5,2023
Razmal Shigiwal (Aut),17,16,3,486,95*,37.38,325,149.53,0,2,2,42,19,2022
Razmal Shigiwal (Aut),7,7,2,206,70,41.20,146,141.09,0,2,0,15,7,2021
Razmal Shigiwal (Aut),5,3,0,100,53,33.33,78,128.20,0,1,0,3,8,2019
Raza-ur-Rehman (CAN),2,1,0,10,10,10.00,6,166.66,0,0,0,2,0,2013/14
Raza-ur-Rehman (CAN),2,2,0,14,9,7.00,19,73.68,0,0,0,1,0,2012/13
Raza-ur-Rehman (CAN),1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,2011/12
Raza Iqbal (NOR),8,8,0,54,29,6.75,52,103.84,0,0,3,6,2,2024
Raza Iqbal (NOR),5,5,0,141,64,28.20,94,150.0,0,2,1,18,4,2023
Raza Iqbal (NOR),8,8,3,179,64*,35.80,152,117.76,0,2,0,20,2,2022
Raza Iqbal (NOR),5,5,0,63,27,12.60,58,108.62,0,0,0,8,2,2021
Raza Iqbal (NOR),5,5,0,87,39,17.40,89,97.75,0,0,0,13,0,2019
Raza Hasan (PAK),3,2,2,13,13*,-,13,100.00,0,0,0,1,0,2014/15
Raza Hasan (PAK),4,1,1,0,0*,-,0,-,0,0,0,0,0,2012/13
Raza Hasan (PAK),3,1,1,5,5*,-,12,41.66,0,0,0,1,0,2012
Rayhaan Ahmed (Aut),4,-,-,-,-,-,-,-,-,-,-,-,-,2021
Ravinderpal Singh (CAN),7,6,0,133,47,22.16,69,192.75,0,0,0,12,8,2022/23
Ravinderpal Singh (CAN),10,8,1,190,47,27.14,154,123.37,0,0,0,18,4,2021/22
Ravinderpal Singh (CAN),6,6,1,77,21,15.40,78,98.71,0,0,0,3,1,2019/20
Ravinderpal Singh (CAN),6,6,3,66,39*,22.00,51,129.41,0,0,2,3,5,2024
Ravinderpal Singh (CAN),6,4,1,189,101,63.00,99,190.90,1,1,1,10,18,2019
Ravinder Singh (MLT),3,1,0,34,34,34.00,18,188.88,0,0,0,3,2,2020
Ravinder Singh (MLT),2,2,0,14,8,7.00,13,107.69,0,0,0,0,1,2019/20
Ravinder Singh (MLT),2,1,0,9,9,9.00,19,47.36,0,0,0,0,0,2021
Ravi Bishnoi (IND),1,-,-,-,-,-,-,-,-,-,-,-,-,2024/25
Ravi Bishnoi (IND),8,3,0,6,4,2.00,6,100.00,0,0,1,0,0,2023/24
Ravi Bishnoi (IND),4,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
Ravi Bishnoi (IND),8,2,1,17,9,17.00,16,106.25,0,0,0,3,0,2024
Ravi Bishnoi (IND),6,1,1,8,8*,-,4,200.0,0,0,0,0,1,2023
Ravi Bishnoi (IND),6,2,1,10,8*,10.00,4,250.00,0,0,0,2,0,2022
Raunaq Kapur (HKG),1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,2024
Rashid Khan (NEP),1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,2023/24
Rashid Khan (NEP),1,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
Rashid Khan (AFG/ICC),6,5,2,16,9,5.33,15,106.66,0,0,2,0,2,2018
Rashid Khan (AFG),3,3,0,33,25,11.00,27,122.22,0,0,0,3,1,2023/24
Rashid Khan (AFG),9,6,3,90,48*,30.00,56,160.71,0,0,1,7,6,2022/23
Rashid Khan (AFG),7,3,0,4,3,1.33,15,26.66,0,0,1,0,0,2021/22
Rashid Khan (AFG),3,3,1,16,9*,8.00,9,177.77,0,0,1,1,1,2020/21
Rashid Khan (AFG),6,4,2,20,14*,10.00,12,166.66,0,0,1,2,1,2019/20
Rashid Khan (AFG),3,1,1,7,7*,-,7,100.00,0,0,0,0,0,2018/19
Rashid Khan (AFG),2,1,0,0,0,0.00,3,0.00,0,0,1,0,0,2017/18
Rashid Khan (AFG),3,2,0,35,33,17.50,31,112.90,0,0,0,2,2,2017
Rashid Khan (AFG),10,3,2,16,14*,16.00,7,228.57,0,0,0,2,1,2016/17
Rashid Khan (AFG),14,5,3,49,15,24.50,36,136.11,0,0,0,4,3,2015/16
Rashid Khan (AFG),8,7,2,57,19*,11.40,46,123.91,0,0,0,5,4,2024
Rashid Khan (AFG),2,2,1,9,6*,9.00,5,180.0,0,0,0,0,1,2023
Rashid Khan (AFG),13,9,4,88,31*,17.60,71,123.94,0,0,0,5,5,2022
Rashid Khan (AFG),4,2,2,20,11*,-,19,105.26,0,0,0,0,1,2019
Rashid Hashmi (CRT),1,1,0,1,1,1.00,14,7.14,0,0,0,0,0,2024
Rasheed Rassam (MDV),1,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
Rasheed Rassam (MDV),2,1,1,12,12*,-,29,41.37,0,0,0,1,0,2023
Rasheed Ali Mamadkhel (SVN),6,6,1,55,17,11.00,59,93.22,0,0,0,1,2,2024
Raqibul Hasan (BAN),1,1,0,18,18,18.00,13,138.46,0,0,0,2,1,2009/10
Raqibul Hasan (BAN),3,3,0,30,16,10.00,44,68.18,0,0,0,1,0,2009
Raqibul Hasan (BAN),1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,2008/09
Rameez Shahzad (UAE),7,7,0,139,54,19.85,128,108.59,0,1,1,12,5,2019/20
Rameez Shahzad (UAE),3,3,1,32,22,16.00,45,71.11,0,0,0,1,1,2018/19
Rameez Shahzad (UAE),3,3,1,82,47,41.00,84,97.61,0,0,0,5,0,2017
Rameez Shahzad (UAE),5,5,1,114,49,28.50,72,158.33,0,0,1,12,5,2016/17
Rameez Shahzad (UAE),4,3,0,82,49,27.33,75,109.33,0,0,0,7,2,2019
Rameez Raja (2) (PAK),2,2,0,24,23,12.00,29,82.75,0,0,0,2,0,2011
Rameez Khan (ROM),5,3,0,44,23,14.66,29,151.72,0,0,0,3,3,2024
Ramanjot Singh (SVN),1,1,0,16,16,16.00,14,114.28,0,0,0,2,0,2024
Ramanjot Singh (SVN),4,4,0,87,46,21.75,94,92.55,0,0,0,8,2,2022
Ram Krishan (EST),1,-,-,-,-,-,-,-,-,-,-,-,-,2023
Rakibul Hasan (ITA),8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0,2019
Rakibul Hasan (BAN),3,2,1,18,14,18.00,7,257.14,0,0,0,3,1,2023
Rajkumar Rajendran (MAS),3,2,0,10,8,5.00,17,58.82,0,0,0,0,1,2024
Rajab Hussain (HKG),2,2,1,3,2,3.00,6,50.00,0,0,0,0,0,2024
Raja Shoaib (SKOR),4,4,2,72,40*,36.00,76,94.73,0,0,0,2,3,2022/23
Raja Shoaib (SKOR),6,6,1,108,33,21.60,132,81.81,0,0,0,13,0,2024
Raja Adeel (ESP),4,2,0,2,1,1.00,8,25.0,0,0,0,0,0,2022/23
Raja Adeel (ESP),5,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
Raja Adeel (ESP),7,1,1,2,2*,-,2,100.00,0,0,0,0,0,2024
Raja Adeel (ESP),8,2,0,1,1,0.50,2,50.00,0,0,1,0,0,2022
Raja Adeel (ESP),3,1,1,0,0*,-,1,0.00,0,0,0,0,0,2021
Rahmatullah Mangal (Fran),1,-,-,-,-,-,-,-,-,-,-,-,-,2024
Rahmatullah Mangal (Fran),9,4,1,5,4,1.66,15,33.33,0,0,1,0,0,2023
Rahmatullah Mangal (Fran),5,5,1,37,16*,9.25,32,115.62,0,0,1,2,1,2022
Rahmatullah Mangal (Fran),4,3,1,32,18,16.00,31,103.22,0,0,0,2,1,2021
Rahmat Shah (AFG),1,1,0,3,3,3.00,6,50.00,0,0,0,0,0,2023/24
Rahmanullah Gurbaz (AFG),12,12,0,333,100,27.75,222,150.00,1,2,1,25,18,2023/24
Rahmanullah Gurbaz (AFG),9,9,0,191,44,21.22,161,118.63,0,0,0,14,9,2022/23
Rahmanullah Gurbaz (AFG),7,7,0,88,46,12.57,78,112.82,0,0,1,3,7,2021/22
Rahmanullah Gurbaz (AFG),3,3,0,114,87,38.00,74,154.05,0,1,0,10,8,2020/21
Rahmanullah Gurbaz (AFG),6,6,0,199,79,33.16,137,145.25,0,1,1,15,12,2019/20
Rahmanullah Gurbaz (AFG),8,8,0,281,80,35.12,226,124.33,0,3,2,18,16,2024
Rahmanullah Gurbaz (AFG),2,2,0,24,16,12.00,16,150.0,0,0,0,2,2,2023
Rahmanullah Gurbaz (AFG),12,12,0,294,84,24.50,210,140.00,0,2,1,27,15,2022
Rahmanullah Gurbaz (AFG),4,4,0,133,61,33.25,99,134.34,0,1,1,11,8,2019
Rahman Ademi (SRB),2,1,1,0,0*,-,4,0.00,0,0,0,0,0,2019/20
Rahman Ademi (SRB),3,3,1,12,11*,6.00,47,25.53,0,0,1,0,0,2024
Rahman Ademi (SRB),4,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2023
Rahel Khan (SWE),7,7,0,133,37,19.00,103,129.12,0,0,1,12,8,2021
Rahat Ali (CZK-R),4,4,2,27,17,13.50,26,103.84,0,0,0,3,0,2024
Rahat Ali (CZK-R),2,1,0,9,9,9.00,10,90.0,0,0,0,0,0,2023
Raghav Dhawan (UGA),2,2,0,48,27,24.00,38,126.31,0,0,0,7,0,2024/25
Rafiullah (OMA),3,3,1,33,14,16.50,13,253.84,0,0,0,0,4,2023/24
Rafiullah (OMA),7,5,0,87,27,17.40,44,197.72,0,0,1,4,9,2022/23
Rafiullah (OMA),16,12,2,129,33,12.90,81,159.25,0,0,3,9,11,2024
Rafiullah (OMA),6,5,0,74,32,14.80,48,154.16,0,0,0,2,7,2023
Rafatullah Mohmand (PAK),3,3,0,39,23,13.00,45,86.66,0,0,1,4,0,2015/16
Rafaqat Ali (NOR),1,-,-,-,-,-,-,-,-,-,-,-,-,2023
Raees Ahmadzai (AFG),2,2,1,9,5*,9.00,7,128.57,0,0,0,1,0,2010
Raees Ahmadzai (AFG),6,4,2,82,33*,41.00,77,106.49,0,0,0,4,1,2009/10
Raaz Mohammad (FIN),4,-,-,-,-,-,-,-,-,-,-,-,-,2021
Raaz Mohammad (FIN),5,3,3,11,5*,-,11,100.00,0,0,0,0,0,2024
Raaz Mohammad (FIN),5,4,4,16,9*,-,19,84.21,0,0,0,1,0,2023
Raaz Mohammad (FIN),7,3,2,0,0*,0.00,4,0.00,0,0,1,0,0,2022
Raag Kapur (HKG),1,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
Raag Kapur (HKG),2,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
Raag Kapur (HKG),4,3,1,12,6,6.00,16,75.00,0,0,0,1,0,2019/20
RWT Key (ENG),1,1,1,10,10*,-,8,125.00,0,0,0,0,0,2009
RW Price (ZIM),1,1,1,7,7*,-,6,116.66,0,0,0,1,0,2012/13
RW Price (ZIM),4,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,2011/12
RW Price (ZIM),2,1,0,3,3,3.00,10,30.00,0,0,0,0,0,2011
