match_id,flip,gender,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,AveRPW,AveRPO,Mat_team2,Won_team2,Lost_team2,Tied_team2,NR_team2,W/L_team2,Inns_team2,HS_team2,LS_team2,AveRPW_team2,AveRPO_team2
287863,1,1,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
287864,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
287864,1,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
287865,0,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
287865,1,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
287866,0,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
287866,1,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
287867,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52
287867,1,1,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
287868,0,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46
287868,1,1,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
287869,0,1,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
287869,1,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52
287870,0,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
287870,1,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
287871,0,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46
287871,1,1,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
287872,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
287872,1,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
287873,0,1,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
287873,1,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,7,3,4,0,0,0.75,7,200,135.0,21.32,8.52
287874,0,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46
287874,1,1,5,3,2,0,0,1.5,5,260,101.0,25.21,8.46,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
287875,0,1,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
287875,1,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,8,2,6,0,0,0.3333333333333333,8,165,83.0,16.5,7.2
287876,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
287876,1,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
287877,0,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
287877,1,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
287878,0,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
287878,1,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
287879,0,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36
287879,1,1,10,8,1,1,0,8.0,10,203,152.0,26.55,8.36,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
291343,0,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
291343,1,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
291356,0,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
291356,1,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
296903,0,1,1,1,0,0,0,1.0,1,127,0.0,127.0,7.25,1,0,1,0,0,0.0,1,123,0.0,13.66,6.15
296903,1,1,1,0,1,0,0,0.0,1,123,0.0,13.66,6.15,1,1,0,0,0,1.0,1,127,0.0,127.0,7.25
297800,0,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
297800,1,1,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2
298795,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
298795,1,1,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
298804,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,4,1,3,0,0,0.3333333333333333,4,205,0.0,21.53,8.01
298804,1,1,4,1,3,0,0,0.3333333333333333,4,205,0.0,21.53,8.01,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
