Player,Season,Mat,Inns,Batting Runs,SR,Ave,Country,Cum batting Ave,Cum battings Runs Total,Cum Inns Total,Cum SR,player_id
A Dananjaya,2012/13,5,1.0,0.0,0.0,0.0,Sri Lanka,0.0,0.0,1.0,0.0,5b16a806
A Dananjaya,2017,1,0.0,0.0,0.0,0.0,Sri Lanka,0.0,0.0,1.0,0.0,5b16a806
A Dananjaya,2017/18,9,5.0,29.0,100.0,9.66,Sri Lanka,8.05,29.0,6.0,33.33,5b16a806
A Dananjaya,2018,1,1.0,2.0,28.57,2.0,Sri Lanka,7.19,31.0,7.0,32.14,5b16a806
A Dananjaya,2018/19,3,3.0,18.0,105.88,9.0,Sri Lanka,7.73,49.0,10.0,46.89,5b16a806
A Dananjaya,2019,3,2.0,0.0,0.0,0.0,Sri Lanka,6.44,49.0,12.0,39.07,5b16a806
A Dananjaya,2020/21,3,1.0,9.0,100.0,9.0,Sri Lanka,6.64,58.0,13.0,47.78,5b16a806
A Dananjaya,2021,6,2.0,3.0,60.0,1.5,Sri Lanka,5.95,61.0,15.0,49.31,5b16a806
A Dananjaya,2023/24,2,1.0,4.0,400.0,4.0,Sri Lanka,5.83,65.0,16.0,88.27,5b16a806
A Davidson Soler,2024,9,5.0,90.0,111.11,18.0,Spain,18.0,90.0,5.0,111.11,524943f1
A Daxini,2023,4,3.0,11.0,50.0,3.66,Croatia,3.66,11.0,3.0,50.0,2f949d55
A Denuwan,2022/23,3,0.0,0.0,0.0,0.0,Italy,0.0,0.0,0.0,0.0,96912eac
A Dhingra,2021,3,1.0,0.0,0.0,0.0,Luxembourg,0.0,0.0,1.0,0.0,753ada66
A Dhingra,2022,7,1.0,1.0,33.33,1.0,Luxembourg,0.5,1.0,2.0,16.67,753ada66
A Dhingra,2023,7,4.0,7.0,116.66,7.0,Luxembourg,4.83,8.0,6.0,50.0,753ada66
A Dhingra,2023/24,1,1.0,1.0,50.0,1.0,Luxembourg,4.29,9.0,7.0,50.0,753ada66
A Dizija,2022,10,10.0,303.0,115.64,30.3,Serbia,30.3,303.0,10.0,115.64,6483c062
A Dizija,2023,4,3.0,111.0,179.03,37.0,Serbia,31.85,414.0,13.0,147.34,6483c062
A Dizija,2023/24,2,2.0,6.0,50.0,3.0,Serbia,28.0,420.0,15.0,114.89,6483c062
A Dizija,2024,9,9.0,73.0,61.86,8.11,Serbia,20.54,493.0,24.0,101.63,6483c062
A Djorovic,2019/20,2,2.0,11.0,42.3,5.5,Serbia,5.5,11.0,2.0,42.3,677c18f9
A Djorovic,2021,4,3.0,6.0,60.0,2.0,Serbia,3.4,17.0,5.0,51.15,677c18f9
A Djorovic,2022,3,1.0,15.0,60.0,15.0,Serbia,5.33,32.0,6.0,54.1,677c18f9
A Djorovic,2023/24,2,1.0,6.0,50.0,6.0,Serbia,5.43,38.0,7.0,53.08,677c18f9
A Donovan,2024,3,2.0,2.0,20.0,2.0,Philippines,2.0,2.0,2.0,20.0,02888f23
A Dowling,2024,1,1.0,2.0,66.66,2.0,Bulgaria,2.0,2.0,1.0,66.66,ec064d97
A Dutt,2021,4,1.0,0.0,0.0,0.0,Netherlands,0.0,0.0,1.0,0.0,803dbf1d
A Dutt,2022,1,0.0,0.0,0.0,0.0,Netherlands,0.0,0.0,1.0,0.0,803dbf1d
A Dutt,2023/24,4,2.0,1.0,33.33,1.0,Netherlands,0.67,1.0,3.0,11.11,803dbf1d
A Dutt,2024,6,5.0,34.0,106.25,11.33,Netherlands,7.33,35.0,8.0,34.89,803dbf1d
A Faletar,2023,4,2.0,0.0,0.0,0.0,Croatia,0.0,0.0,2.0,0.0,b8889eb7
A Ferguson,2019/20,5,3.0,88.0,88.0,44.0,Argentina,44.0,88.0,3.0,88.0,4a8d1b14
A Ferguson,2021/22,6,6.0,133.0,113.67,33.25,Argentina,36.83,221.0,9.0,100.84,4a8d1b14
A Ferguson,2022/23,6,6.0,151.0,87.28,25.16,Argentina,32.16,372.0,15.0,96.32,4a8d1b14
A Ferguson,2023/24,2,1.0,22.0,115.78,22.0,Argentina,31.53,394.0,16.0,101.18,4a8d1b14
A Flintoff,2005,1,1.0,6.0,120.0,6.0,England,6.0,6.0,1.0,120.0,ddc0828d
A Flintoff,2006/07,1,1.0,0.0,0.0,0.0,England,3.0,6.0,2.0,60.0,ddc0828d
A Flintoff,2007/08,5,5.0,70.0,132.07,17.5,England,13.36,76.0,7.0,84.02,ddc0828d
A Gasteratos,2022,2,1.0,4.0,40.0,4.0,Greece,4.0,4.0,1.0,40.0,e87c009a
A Gasteratos,2024,4,4.0,13.0,44.82,4.33,Greece,4.26,17.0,5.0,42.41,e87c009a
