player_id,Player,Mat,SR,Overs,Wkts,Econ,D/I
a8d6305d,S Udhayan,10,117.64,0.0,0.0,0.0,0.222
d3e83eef,F Mutizwa,3,105.55,0.0,0.0,0.0,0.0
431f8af4,Tayyab Tahir,3,95.12,0.0,0.0,0.0,0.333
270b4de6,NMS Param,20,117.02,11.3,3.0,6.86,0.3
8f3c6b8a,Muhammad Farooq,1,125.0,1.0,1.0,2.0,0.0
1b8242f2,Imran Haider,11,50.0,0.0,0.0,0.0,0.09
ca92a578,IA Karim,63,100.39,0.0,0.0,0.0,1.442
598f5484,Adil Butt,3,80.0,9.0,4.0,6.11,0.666
bf74b130,FH Allen,47,158.69,0.0,0.0,0.0,0.413
772f226b,Aphsal Ashraf,5,165.62,5.0,2.0,8.2,0.4
9f2be73d,S Ravichandran,34,134.48,97.2,35.0,4.99,0.5
575ab3ce,CU Jayasinghe,5,100.0,0.0,0.0,0.0,0.0
f55c526f,T Maruma,13,91.74,3.0,1.0,6.66,0.384
6779e840,R Cunningham,7,76.92,6.2,3.0,12.31,0.0
e97aefe2,SI Mahmood,4,50.0,14.0,3.0,11.07,0.25
bb4da4d3,D Visser,6,194.85,22.0,12.0,6.68,0.666
6766ca00,M Shumba,30,108.14,12.0,4.0,8.58,0.6
bc02b37a,Sana Ullah,4,0.0,9.4,2.0,7.86,0.75
88ee683b,Z Arinaitwe,6,83.33,0.0,0.0,0.0,0.0
3bf7c034,Sultan Ahmed,25,95.52,82.3,22.0,5.89,1.062
86ea6123,Mohamed Coulibaly,13,32.38,6.5,2.0,10.68,0.083
bfd93f9b,R Gowthaman,5,82.1,0.0,0.0,0.0,0.2
090f9211,Shahadat Hossain,3,78.78,0.0,0.0,0.0,0.0
a386e91b,PD Collingwood,36,127.01,39.0,16.0,8.89,0.416
1cb14aa4,CJ Dala,10,67.85,32.0,13.0,9.59,0.3
415d30b6,Virandeep Singh,84,126.01,178.3,73.0,5.54,0.506
f58295c2,JM Iradukunda,3,33.33,8.0,0.0,10.37,1.0
3676b91f,D Kegasitswe,4,45.45,12.0,2.0,13.0,0.0
1125ebe4,R Satheesan,38,155.45,34.3,14.0,6.69,0.394
b2a79f17,B Laughlin,3,0.0,11.5,2.0,9.97,0.333
192f2caf,A Bhargava,5,133.33,13.0,9.0,5.69,0.2
f2e8b37c,Arafat Minhas,3,126.66,8.0,4.0,5.62,0.0
321fcf79,S Singh,42,107.28,1.0,0.0,8.0,0.0
f5715b48,Ali Naseer,29,124.02,102.1,38.0,7.66,0.482
a0a32dd1,Imran Khan,10,104.91,13.0,2.0,6.38,1.0
a7bc76a0,E Leie,2,0.0,6.0,4.0,8.0,0.0
78f34e15,IE O'Brien,4,0.0,13.0,6.0,8.92,0.0
7081491e,AA Obanda,51,118.95,0.0,0.0,0.0,0.14
5b2acc3f,Shahid Afridi,7,169.76,361.2,98.0,6.63,0.142
b17d629e,Shadnan Khan,5,54.83,7.3,3.0,4.93,0.2
008a024c,M Mooketsi,37,55.71,128.0,38.0,6.47,0.222
19b9f399,CJ Green,1,66.66,4.0,0.0,9.0,2.0
a628a5c8,D Wabwire,7,0.0,21.1,7.0,7.03,0.142
5e71fa21,Shabir Noori,1,83.33,0.0,0.0,0.0,0.0
2f6f44bb,RDB Ahir,8,105.0,24.1,6.0,7.65,0.375
5b2acc3f,Shahid Afridi,7,169.76,361.2,98.0,6.63,0.303
ede05b97,HG Kuhn,7,116.66,0.0,0.0,0.0,0.714
390ff45b,Abdul Razzaq,32,116.61,56.3,20.0,6.99,0.062
dc2abe5e,Ahsan Ali,2,92.3,0.0,0.0,0.0,0.0
0bd536fb,P Raho,2,166.66,3.0,3.0,6.66,0.0
0ab3c788,RP Singh,10,100.0,33.0,15.0,6.81,0.222
f987245c,AM Ellis,5,119.04,10.0,2.0,10.5,0.0
f78e7113,S Prasanna,20,132.91,50.0,10.0,7.18,0.2
d300d274,Saim Hussain,18,146.7,0.0,0.0,0.0,0.529
d9a7ca8e,T Chopel,1,0.0,2.0,0.0,14.5,0.0
c9f851b0,JL de Mey,3,0.0,7.0,1.0,9.57,0.333
0184dc35,R Dravid,1,147.61,0.0,0.0,0.0,0.0
fd770945,BT Foakes,1,0.0,0.0,0.0,0.0,1.0
5947220c,R Thapliyal,6,100.0,17.2,10.0,8.76,0.0
45a7e761,Shaheen Shah Afridi,70,126.95,255.4,96.0,7.65,0.242
7a7c7e57,R Pillai,6,63.63,0.0,0.0,0.0,0.166
27320242,IW Budiarta,5,80.0,9.0,2.0,5.88,0.0
7e00711f,Faheem Nazir,18,151.39,46.2,21.0,7.4,0.222
492ff0c2,R Mondol,3,0.0,7.0,4.0,8.57,0.0
c594137f,A Shukla,5,51.28,6.0,1.0,8.66,0.162
df49ae91,Muzammil Shahzad,3,12.5,0.0,0.0,0.0,1.0
643f2e6a,Dharmang Patel,5,60.71,0.0,0.0,0.0,0.4
508a1ea7,SE Marsh,15,102.82,0.0,0.0,0.0,0.2
6913e38e,Wahidullah Sahak,16,111.83,39.3,17.0,7.97,0.812
c573d173,MWR Stokes,38,118.45,72.2,23.0,7.61,0.421
0ba9de33,HER Tyler,22,113.82,47.1,11.0,9.01,0.136
7ecb9a14,Aamir Kaleem,33,107.64,80.0,32.0,6.96,0.437
cf06cb34,K Subramanian,1,0.0,4.0,3.0,6.75,0.0
3204c99f,G Coetzee,6,86.2,20.2,8.0,10.18,0.166
60bb8160,RHO Saunders,2,65.21,0.0,0.0,0.0,0.0
e2ee90d9,MA Aponso,3,0.0,10.0,4.0,7.9,0.0
e9d6a2ce,Manpreet Singh,20,90.95,0.0,0.0,0.0,1.052
