team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Hong Kong,Netherlands,male,2016/17,2017/01/18,Dubai International Cricket Stadium,,Hong Kong,bat,Hong Kong,1074966
Oman,Scotland,male,2016/17,2017/01/19,Dubai International Cricket Stadium,,Oman,bat,Scotland,1074968
Afghanistan,Oman,male,2016/17,2017/01/20,Dubai International Cricket Stadium,,Afghanistan,field,Afghanistan,1074969
Ireland,Scotland,male,2016/17,2017/01/20,Dubai International Cricket Stadium,,Scotland,field,Ireland,1074970
Afghanistan,Ireland,male,2016/17,2017/01/20,Dubai International Cricket Stadium,,Ireland,bat,Afghanistan,1074971
South Africa,Bangladesh,male,2017/18,2017/10/26,Mangaung Oval,Bloemfontein,South Africa,bat,South Africa,1075507
South Africa,Bangladesh,male,2017/18,2017/10/29,Senwes Park,Potchefstroom,Bangladesh,field,South Africa,1075508
West Indies,Pakistan,male,2017,2017/03/26,"Kensington Oval, Bridgetown",Barbados,Pakistan,field,Pakistan,1077947
West Indies,Pakistan,male,2017,2017/03/30,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,Pakistan,1077948
Sri Lanka,Bangladesh,male,2016/17,2017/04/04,R Premadasa Stadium,Colombo,Bangladesh,bat,Sri Lanka,1083449
Sri Lanka,Bangladesh,male,2016/17,2017/04/06,R Premadasa Stadium,Colombo,Bangladesh,bat,Bangladesh,1083450
West Indies,Pakistan,male,2017,2017/04/01,"Queen's Park Oval, Port of Spain",Trinidad,Pakistan,bat,West Indies,1085495
West Indies,Pakistan,male,2017,2017/04/02,"Queen's Park Oval, Port of Spain",Trinidad,Pakistan,field,Pakistan,1085496
England,Australia,female,2017/18,2017/11/17,North Sydney Oval,Sydney,Australia,field,Australia,1086067
England,Australia,female,2017/18,2017/11/19,Manuka Oval,Canberra,England,bat,England,1086068
Australia,England,female,2017/18,2017/11/21,Manuka Oval,Canberra,Australia,bat,England,1086069
United Arab Emirates,Papua New Guinea,male,2017,2017/04/12,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,field,United Arab Emirates,1089202
United Arab Emirates,Papua New Guinea,male,2017,2017/04/14,Sheikh Zayed Stadium,Abu Dhabi,Papua New Guinea,field,United Arab Emirates,1089203
United Arab Emirates,Papua New Guinea,male,2017,2017/04/14,Sheikh Zayed Stadium,Abu Dhabi,Papua New Guinea,bat,United Arab Emirates,1089243
West Indies,Afghanistan,male,2017,2017/06/02,"Warner Park, Basseterre",St Kitts,Afghanistan,bat,West Indies,1089776
West Indies,Afghanistan,male,2017,2017/06/03,"Warner Park, Basseterre",St Kitts,West Indies,bat,West Indies,1089777
West Indies,Afghanistan,male,2017,2017/06/05,"Warner Park, Basseterre",St Kitts,Afghanistan,bat,West Indies,1089778
West Indies,India,male,2017,2017/07/09,"Sabina Park, Kingston",Jamaica,West Indies,field,West Indies,1098211
Sri Lanka,India,male,2017,2017/09/06,"R.Premadasa Stadium, Khettarama",Colombo,India,field,India,1109610
New Zealand,West Indies,male,2017/18,2017/12/29,Saxton Oval,Nelson,West Indies,field,New Zealand,1115798
New Zealand,West Indies,male,2017/18,2018/01/03,Bay Oval,Mount Maunganui,New Zealand,bat,New Zealand,1115800
Pakistan,New Zealand,male,2017/18,2018/01/22,Westpac Stadium,Wellington,New Zealand,field,New Zealand,1115807
Pakistan,New Zealand,male,2017/18,2018/01/25,Eden Park,Auckland,Pakistan,bat,Pakistan,1115808
Pakistan,New Zealand,male,2017/18,2018/01/28,Bay Oval,Mount Maunganui,Pakistan,bat,Pakistan,1115809
Pakistan,ICC World XI,male,2017/18,2017/09/12,Gaddafi Stadium,Lahore,ICC World XI,field,Pakistan,1117821
Pakistan,ICC World XI,male,2017/18,2017/09/13,Gaddafi Stadium,Lahore,Pakistan,bat,ICC World XI,1117822
Pakistan,ICC World XI,male,2017/18,2017/09/15,Gaddafi Stadium,Lahore,ICC World XI,field,Pakistan,1117824
Australia,India,male,2017/18,2017/10/07,JSCA International Stadium Complex,Ranchi,India,field,India,1119501
India,Australia,male,2017/18,2017/10/10,Barsapara Cricket Stadium,Guwahati,Australia,field,Australia,1119502
England,Australia,male,2018,2018/06/27,Edgbaston,Birmingham,Australia,field,England,1119542
England,India,male,2018,2018/07/03,Old Trafford,Manchester,India,field,India,1119543
India,England,male,2018,2018/07/06,Sophia Gardens,Cardiff,England,field,England,1119544
England,India,male,2018,2018/07/08,County Ground,Bristol,India,field,India,1119545
India,New Zealand,male,2017/18,2017/11/01,Arun Jaitley Stadium,Delhi,New Zealand,field,India,1120093
New Zealand,India,male,2017/18,2017/11/04,Saurashtra Cricket Association Stadium,Rajkot,New Zealand,bat,New Zealand,1120094
India,New Zealand,male,2017/18,2017/11/07,Greenfield International Stadium,Thiruvananthapuram,New Zealand,field,India,1120095
Sri Lanka,Pakistan,male,2017/18,2017/10/26,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Pakistan,1120291
Sri Lanka,Pakistan,male,2017/18,2017/10/27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Pakistan,1120292
Pakistan,Sri Lanka,male,2017/18,2017/10/29,Gaddafi Stadium,Lahore,Sri Lanka,field,Pakistan,1120293
India,South Africa,male,2017/18,2018/02/18,The Wanderers Stadium,Johannesburg,South Africa,field,India,1122285
India,South Africa,male,2017/18,2018/02/21,SuperSport Park,Centurion,South Africa,field,South Africa,1122286
India,South Africa,male,2017/18,2018/02/24,Newlands,Cape Town,South Africa,field,India,1122287
India,Sri Lanka,male,2017/18,2017/12/20,Barabati Stadium,Cuttack,Sri Lanka,field,India,1122729
India,Sri Lanka,male,2017/18,2017/12/22,Holkar Cricket Stadium,Indore,Sri Lanka,field,India,1122730
Sri Lanka,India,male,2017/18,2017/12/24,Wankhede Stadium,Mumbai,India,field,India,1122731
West Indies,Sri Lanka,female,2017/18,2017/10/21,Coolidge Cricket Ground,Antigua,West Indies,bat,West Indies,1122902
New Zealand,Pakistan,female,2017/18,2017/11/09,Sharjah Cricket Stadium,,New Zealand,bat,New Zealand,1122908
New Zealand,Pakistan,female,2017/18,2017/11/12,Sharjah Cricket Stadium,,New Zealand,bat,New Zealand,1122909
Pakistan,New Zealand,female,2017/18,2017/11/14,Sharjah Cricket Stadium,,Pakistan,bat,New Zealand,1122910
South Africa,India,female,2017/18,2018/02/13,Senwes Park,Potchefstroom,India,field,India,1123206
South Africa,India,female,2017/18,2018/02/16,Buffalo Park,East London,India,field,India,1123207
India,South Africa,female,2017/18,2018/02/18,The Wanderers Stadium,Johannesburg,South Africa,field,South Africa,1123208
India,South Africa,female,2017/18,2018/02/24,Newlands,Cape Town,South Africa,field,India,1123210
New Zealand,South Africa,female,2018,2018/06/20,The Cooper Associates County Ground,Taunton,South Africa,field,New Zealand,1126720
England,South Africa,female,2018,2018/06/20,The Cooper Associates County Ground,Taunton,England,bat,England,1126721
England,South Africa,female,2018,2018/06/23,The Cooper Associates County Ground,Taunton,England,bat,South Africa,1126722
England,New Zealand,female,2018,2018/06/23,The Cooper Associates County Ground,Taunton,England,bat,England,1126723
South Africa,New Zealand,female,2018,2018/06/28,County Ground,Bristol,South Africa,bat,New Zealand,1126724
New Zealand,England,female,2018,2018/06/28,County Ground,Bristol,New Zealand,bat,England,1126725
New Zealand,England,female,2018,2018/07/01,County Ground,Chelmsford,New Zealand,bat,England,1126726
Pakistan,Scotland,male,2018,2018/06/12,"Grange Cricket Club, Raeburn Place",Edinburgh,Pakistan,bat,Pakistan,1127300
Pakistan,Scotland,male,2018,2018/06/13,"Grange Cricket Club, Raeburn Place",Edinburgh,Pakistan,bat,Pakistan,1127301
Bangladesh,Sri Lanka,male,2017/18,2018/02/15,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Sri Lanka,1130746
Sri Lanka,Bangladesh,male,2017/18,2018/02/18,Sylhet International Cricket Stadium,,Bangladesh,field,Sri Lanka,1130747
India,Australia,female,2017/18,2018/03/22,Brabourne Stadium,Mumbai,Australia,field,Australia,1131235
Australia,England,female,2017/18,2018/03/23,Brabourne Stadium,Mumbai,England,field,England,1131236
India,England,female,2017/18,2018/03/25,Brabourne Stadium,Mumbai,England,field,England,1131237
