team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
South Africa,England,male,2022,2022/07/31,"The Rose Bowl, Southampton",Southampton,England,field,South Africa,1276915
Bangladesh,Pakistan,male,2021/22,2021/11/19,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Pakistan,1277974
Bangladesh,Pakistan,male,2021/22,2021/11/20,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Pakistan,1277975
Bangladesh,Pakistan,male,2021/22,2021/11/22,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Pakistan,1277976
New Zealand,India,male,2021/22,2021/11/17,"Sawai Mansingh Stadium, Jaipur",Jaipur,India,field,India,1278671
New Zealand,India,male,2021/22,2021/11/19,"JSCA International Stadium Complex, Ranchi",Ranchi,India,field,India,1278672
India,New Zealand,male,2021/22,2021/11/21,"Eden Gardens, Kolkata",Kolkata,India,bat,India,1278673
West Indies,India,male,2021/22,2022/02/16,"Eden Gardens, Kolkata",Kolkata,India,field,India,1278679
India,West Indies,male,2021/22,2022/02/18,"Eden Gardens, Kolkata",Kolkata,West Indies,field,India,1278680
India,West Indies,male,2021/22,2022/02/20,"Eden Gardens, Kolkata",Kolkata,West Indies,field,India,1278681
India,Sri Lanka,male,2021/22,2022/02/24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Sri Lanka,field,India,1278684
Sri Lanka,India,male,2021/22,2022/02/26,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,India,field,India,1278685
Sri Lanka,India,male,2021/22,2022/02/27,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Sri Lanka,bat,India,1278686
India,South Africa,male,2022,2022/06/09,"Arun Jaitley Stadium, Delhi",Delhi,South Africa,field,South Africa,1278687
India,South Africa,male,2022,2022/06/12,"Barabati Stadium, Cuttack",Cuttack,South Africa,field,South Africa,1278688
India,South Africa,male,2022,2022/06/14,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,South Africa,field,India,1278689
India,South Africa,male,2022,2022/06/17,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,South Africa,field,India,1278690
Estonia,Cyprus,male,2021/22,2021/10/05,Happy Valley Ground,Episkopi,Cyprus,field,Cyprus,1279379
Estonia,Cyprus,male,2021/22,2021/10/05,Happy Valley Ground,Episkopi,Estonia,bat,Cyprus,1279380
Cyprus,Isle of Man,male,2021/22,2021/10/06,Happy Valley Ground,Episkopi,Cyprus,bat,Isle of Man,1279381
Estonia,Isle of Man,male,2021/22,2021/10/06,Happy Valley Ground,Episkopi,Estonia,bat,Isle of Man,1279382
Cyprus,Isle of Man,male,2021/22,2021/10/07,Happy Valley Ground,Episkopi,Isle of Man,field,Isle of Man,1279383
Cyprus,Estonia,male,2021/22,2021/10/08,Happy Valley Ground,Episkopi,Cyprus,bat,Cyprus,1279385
Estonia,Isle of Man,male,2021/22,2021/10/08,Happy Valley Ground,Episkopi,Isle of Man,field,Isle of Man,1279386
Scotland,Namibia,male,2021/22,2021/10/09,"ICC Academy, Dubai",Dubai,Namibia,field,Namibia,1280058
Namibia,Papua New Guinea,male,2021/22,2021/10/10,"ICC Academy, Dubai",Dubai,Papua New Guinea,field,Namibia,1280059
United Arab Emirates,Ireland,male,2021/22,2021/10/07,"ICC Academy, Dubai",Dubai,United Arab Emirates,bat,Ireland,1280060
United Arab Emirates,Ireland,male,2021/22,2021/10/08,"ICC Academy, Dubai",Dubai,Ireland,field,United Arab Emirates,1280061
Ireland,United Arab Emirates,male,2021/22,2021/10/10,"ICC Academy, Dubai",Dubai,United Arab Emirates,field,United Arab Emirates,1280062
Papua New Guinea,Scotland,male,2021/22,2021/10/08,"ICC Academy, Dubai",Dubai,Papua New Guinea,bat,Scotland,1280063
Malta,Gibraltar,male,2021/22,2021/10/21,Marsa Sports Club,Marsa,Malta,bat,Malta,1282272
Gibraltar,Switzerland,male,2021/22,2021/10/22,Marsa Sports Club,Marsa,Gibraltar,bat,Switzerland,1282273
Bulgaria,Switzerland,male,2021/22,2021/10/22,Marsa Sports Club,Marsa,Bulgaria,bat,Switzerland,1282275
Switzerland,Malta,male,2021/22,2021/10/23,Marsa Sports Club,Marsa,Switzerland,bat,Switzerland,1282276
Gibraltar,Bulgaria,male,2021/22,2021/10/24,Marsa Sports Club,Marsa,Gibraltar,bat,Bulgaria,1282278
Malta,Switzerland,male,2021/22,2021/10/24,Marsa Sports Club,Marsa,Malta,bat,Malta,1282279
Jersey,Germany,male,2021/22,2021/10/15,"Desert Springs Cricket Ground, Almeria",Almeria,Germany,field,Jersey,1282738
Denmark,Italy,male,2021/22,2021/10/15,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,bat,Italy,1282739
Denmark,Germany,male,2021/22,2021/10/16,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,bat,Germany,1282740
Jersey,Italy,male,2021/22,2021/10/16,"Desert Springs Cricket Ground, Almeria",Almeria,Jersey,bat,Jersey,1282741
Jersey,Denmark,male,2021/22,2021/10/17,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,field,Jersey,1282742
Italy,Germany,male,2021/22,2021/10/17,"Desert Springs Cricket Ground, Almeria",Almeria,Italy,bat,Germany,1282743
Italy,Denmark,male,2021/22,2021/10/19,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,field,Italy,1282744
Germany,Jersey,male,2021/22,2021/10/19,"Desert Springs Cricket Ground, Almeria",Almeria,Germany,bat,Jersey,1282745
Italy,Jersey,male,2021/22,2021/10/20,"Desert Springs Cricket Ground, Almeria",Almeria,Jersey,field,Jersey,1282746
Germany,Denmark,male,2021/22,2021/10/20,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,field,Germany,1282747
Italy,Germany,male,2021/22,2021/10/21,"Desert Springs Cricket Ground, Almeria",Almeria,Germany,field,Italy,1282748
Denmark,Jersey,male,2021/22,2021/10/21,"Desert Springs Cricket Ground, Almeria",Almeria,Denmark,bat,Jersey,1282749
Argentina,Brazil,female,2021/22,2021/10/19,"Reforma Athletic Club, Naucalpan",Naucalpan,Brazil,field,Brazil,1282929
Canada,United States of America,female,2021/22,2021/10/19,"Reforma Athletic Club, Naucalpan",Naucalpan,Canada,bat,United States of America,1282930
Canada,United States of America,female,2021/22,2021/10/24,"Reforma Athletic Club, Naucalpan",Naucalpan,United States of America,field,Canada,1282935
Rwanda,Ghana,male,2021/22,2021/10/16,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,field,Ghana,1283021
Seychelles,Ghana,male,2021/22,2021/10/16,Gahanga International Cricket Stadium. Rwanda,Kigali City,Seychelles,bat,Ghana,1283023
Malawi,Uganda,male,2021/22,2021/10/16,Integrated Polytechnic Regional Centre,Kigali City,Malawi,bat,Uganda,1283024
Lesotho,Seychelles,male,2021/22,2021/10/17,Gahanga International Cricket Stadium. Rwanda,Kigali City,Seychelles,field,Seychelles,1283025
Swaziland,Malawi,male,2021/22,2021/10/17,Integrated Polytechnic Regional Centre,Kigali City,Malawi,field,Malawi,1283026
Uganda,Rwanda,male,2021/22,2021/10/17,Integrated Polytechnic Regional Centre,Kigali City,Uganda,bat,Uganda,1283028
Malawi,Ghana,male,2021/22,2021/10/19,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,field,Ghana,1283029
Lesotho,Uganda,male,2021/22,2021/10/19,Integrated Polytechnic Regional Centre,Kigali City,Lesotho,bat,Uganda,1283030
Swaziland,Uganda,male,2021/22,2021/10/19,Integrated Polytechnic Regional Centre,Kigali City,Swaziland,bat,Uganda,1283032
Malawi,Seychelles,male,2021/22,2021/10/20,Gahanga International Cricket Stadium. Rwanda,Kigali City,Malawi,bat,Malawi,1283033
Swaziland,Ghana,male,2021/22,2021/10/20,Integrated Polytechnic Regional Centre,Kigali City,Ghana,field,Ghana,1283034
Swaziland,Seychelles,male,2021/22,2021/10/20,Gahanga International Cricket Stadium. Rwanda,Kigali City,Swaziland,bat,Seychelles,1283035
Rwanda,Lesotho,male,2021/22,2021/10/21,Integrated Polytechnic Regional Centre,Kigali City,Rwanda,bat,Rwanda,1283036
Uganda,Ghana,male,2021/22,2021/10/21,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,field,Uganda,1283037
Swaziland,Rwanda,male,2021/22,2021/10/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,Swaziland,bat,Rwanda,1283038
Malawi,Rwanda,male,2021/22,2021/10/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,Malawi,bat,Malawi,1283040
Uganda,Seychelles,male,2021/22,2021/10/22,Integrated Polytechnic Regional Centre,Kigali City,Uganda,bat,Uganda,1283041
Botswana,Sierra Leone,male,2021/22,2021/11/02,Gahanga International Cricket Stadium. Rwanda,Kigali City,Botswana,bat,Botswana,1283042
Tanzania,Mozambique,male,2021/22,2021/11/02,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,bat,Tanzania,1283043
Mozambique,Cameroon,male,2021/22,2021/11/03,Gahanga International Cricket Stadium. Rwanda,Kigali City,Cameroon,field,Mozambique,1283044
Sierra Leone,Tanzania,male,2021/22,2021/11/03,Gahanga International Cricket Stadium. Rwanda,Kigali City,Sierra Leone,bat,Tanzania,1283045
Cameroon,Botswana,male,2021/22,2021/11/05,Gahanga International Cricket Stadium. Rwanda,Kigali City,Cameroon,bat,Botswana,1283046
Mozambique,Sierra Leone,male,2021/22,2021/11/05,Gahanga International Cricket Stadium. Rwanda,Kigali City,Mozambique,bat,Sierra Leone,1283047
Botswana,Mozambique,male,2021/22,2021/11/06,Gahanga International Cricket Stadium. Rwanda,Kigali City,Botswana,bat,Botswana,1283048
Tanzania,Cameroon,male,2021/22,2021/11/06,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,bat,Tanzania,1283049
Cameroon,Sierra Leone,male,2021/22,2021/11/07,Gahanga International Cricket Stadium. Rwanda,Kigali City,Cameroon,bat,Sierra Leone,1283050
Tanzania,Botswana,male,2021/22,2021/11/07,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,bat,Tanzania,1283051
Nigeria,Sierra Leone,male,2021/22,2021/10/19,University of Lagos Cricket Oval,Lagos,Sierra Leone,field,Sierra Leone,1283089
Nigeria,Sierra Leone,male,2021/22,2021/10/21,University of Lagos Cricket Oval,Lagos,Sierra Leone,field,Nigeria,1283091
Sierra Leone,Nigeria,male,2021/22,2021/10/23,University of Lagos Cricket Oval,Lagos,Sierra Leone,bat,Nigeria,1283092
Nigeria,Sierra Leone,male,2021/22,2021/10/24,University of Lagos Cricket Oval,Lagos,Nigeria,bat,Nigeria,1283093
Nigeria,Sierra Leone,male,2021/22,2021/10/26,University of Lagos Cricket Oval,Lagos,Nigeria,bat,Nigeria,1283094
Maldives,Saudi Arabia,male,2021/22,2021/10/23,"West End Park International Cricket Stadium, Doha",Doha,Maldives,bat,Saudi Arabia,1284489
Bahrain,Kuwait,male,2021/22,2021/10/24,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,Kuwait,1284490
Qatar,Maldives,male,2021/22,2021/10/24,"West End Park International Cricket Stadium, Doha",Doha,Maldives,field,Qatar,1284491
Maldives,Bahrain,male,2021/22,2021/10/27,"West End Park International Cricket Stadium, Doha",Doha,Bahrain,field,Bahrain,1284493
Maldives,Kuwait,male,2021/22,2021/10/28,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,field,Kuwait,1284495
Bahrain,Saudi Arabia,male,2021/22,2021/10/28,"West End Park International Cricket Stadium, Doha",Doha,Saudi Arabia,field,Bahrain,1284496
Kuwait,Qatar,male,2021/22,2021/10/29,"West End Park International Cricket Stadium, Doha",Doha,Kuwait,bat,Qatar,1284497
Belize,United States of America,male,2021/22,2021/11/07,"Coolidge Cricket Ground, Antigua",Coolidge,United States of America,field,United States of America,1286667
Canada,Belize,male,2021/22,2021/11/08,"Coolidge Cricket Ground, Antigua",Coolidge,Canada,bat,Canada,1286670
Bahamas,Argentina,male,2021/22,2021/11/08,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Bahamas,bat,Bahamas,1286671
Belize,Panama,male,2021/22,2021/11/08,"Coolidge Cricket Ground, Antigua",Coolidge,Belize,bat,Belize,1286672
United States of America,Bermuda,male,2021/22,2021/11/08,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,United States of America,bat,United States of America,1286673
Argentina,Belize,male,2021/22,2021/11/10,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Argentina,bat,Argentina,1286675
Bermuda,Bahamas,male,2021/22,2021/11/10,"Coolidge Cricket Ground, Antigua",Coolidge,Bahamas,field,Bermuda,1286677
Argentina,United States of America,male,2021/22,2021/11/11,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Argentina,bat,United States of America,1286681
Bahamas,United States of America,male,2021/22,2021/11/13,"Coolidge Cricket Ground, Antigua",Coolidge,Bahamas,bat,United States of America,1286682
Belize,Bermuda,male,2021/22,2021/11/13,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Belize,bat,Bermuda,1286683
Panama,Bahamas,male,2021/22,2021/11/13,"Coolidge Cricket Ground, Antigua",Coolidge,Bahamas,field,Panama,1286684
Argentina,Canada,male,2021/22,2021/11/13,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Argentina,bat,Canada,1286685
Canada,Panama,male,2021/22,2021/11/14,"Coolidge Cricket Ground, Antigua",Coolidge,Canada,bat,Canada,1286686
United Arab Emirates,Malaysia,female,2021/22,2021/11/22,"ICC Academy, Dubai",Dubai,Malaysia,field,United Arab Emirates,1286968
Bhutan,Kuwait,female,2021/22,2021/11/22,"ICC Academy, Dubai",Dubai,Kuwait,field,Bhutan,1286970
United Arab Emirates,Hong Kong,female,2021/22,2021/11/23,"ICC Academy, Dubai",Dubai,Hong Kong,field,United Arab Emirates,1286971
Malaysia,Kuwait,female,2021/22,2021/11/23,"ICC Academy, Dubai",Dubai,Malaysia,bat,Malaysia,1286972
Bhutan,Nepal,female,2021/22,2021/11/23,"ICC Academy Ground No 2, Dubai",Dubai,Bhutan,bat,Nepal,1286973
Malaysia,Hong Kong,female,2021/22,2021/11/25,"ICC Academy Ground No 2, Dubai",Dubai,Hong Kong,field,Hong Kong,1286974
Kuwait,Nepal,female,2021/22,2021/11/25,"ICC Academy, Dubai",Dubai,Kuwait,bat,Nepal,1286975
United Arab Emirates,Bhutan,female,2021/22,2021/11/25,"ICC Academy Ground No 2, Dubai",Dubai,Bhutan,field,United Arab Emirates,1286976
Hong Kong,Bhutan,female,2021/22,2021/11/26,"ICC Academy, Dubai",Dubai,Bhutan,field,Hong Kong,1286978
Kuwait,United Arab Emirates,female,2021/22,2021/11/26,"ICC Academy Ground No 2, Dubai",Dubai,United Arab Emirates,field,United Arab Emirates,1286979
United Arab Emirates,Nepal,female,2021/22,2021/11/28,"ICC Academy Ground No 2, Dubai",Dubai,Nepal,field,United Arab Emirates,1286980
Malaysia,Bhutan,female,2021/22,2021/11/28,"ICC Academy, Dubai",Dubai,Malaysia,bat,Malaysia,1286981
Hong Kong,Kuwait,female,2021/22,2021/11/28,"ICC Academy, Dubai",Dubai,Hong Kong,bat,Hong Kong,1286982
Pakistan,West Indies,male,2021/22,2021/12/13,"National Stadium, Karachi",Karachi,West Indies,field,Pakistan,1287773
Pakistan,West Indies,male,2021/22,2021/12/14,"National Stadium, Karachi",Karachi,Pakistan,bat,Pakistan,1287774
West Indies,Pakistan,male,2021/22,2021/12/16,"National Stadium, Karachi",Karachi,West Indies,bat,Pakistan,1287775
Pakistan,Australia,male,2021/22,2022/04/05,"Gaddafi Stadium, Lahore",Lahore,Australia,field,Australia,1288316
New Zealand,India,female,2021/22,2022/02/09,"John Davies Oval, Queenstown",Queenstown,India,field,New Zealand,1289031
Nigeria,Tanzania,male,2021/22,2021/11/17,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,bat,Tanzania,1289042
Kenya,Uganda,male,2021/22,2021/11/17,Integrated Polytechnic Regional Centre,Kigali City,Kenya,bat,Kenya,1289043
Uganda,Nigeria,male,2021/22,2021/11/17,Gahanga International Cricket Stadium. Rwanda,Kigali City,Uganda,bat,Uganda,1289044
Tanzania,Kenya,male,2021/22,2021/11/17,Integrated Polytechnic Regional Centre,Kigali City,Tanzania,bat,Tanzania,1289045
Tanzania,Uganda,male,2021/22,2021/11/18,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,bat,Uganda,1289046
Nigeria,Kenya,male,2021/22,2021/11/18,Integrated Polytechnic Regional Centre,Kigali City,Nigeria,bat,Kenya,1289047
Tanzania,Kenya,male,2021/22,2021/11/18,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,bat,Kenya,1289048
Nigeria,Uganda,male,2021/22,2021/11/18,Integrated Polytechnic Regional Centre,Kigali City,Uganda,field,Uganda,1289049
Tanzania,Uganda,male,2021/22,2021/11/20,Gahanga International Cricket Stadium. Rwanda,Kigali City,Uganda,field,Uganda,1289050
Kenya,Nigeria,male,2021/22,2021/11/20,Integrated Polytechnic Regional Centre,Kigali City,Nigeria,field,Kenya,1289051
Kenya,Uganda,male,2021/22,2021/11/20,Gahanga International Cricket Stadium. Rwanda,Kigali City,Kenya,bat,Uganda,1289052
Tanzania,Nigeria,male,2021/22,2021/11/20,Integrated Polytechnic Regional Centre,Kigali City,Tanzania,bat,Tanzania,1289053
India,Australia,female,2022,2022/07/29,"Edgbaston, Birmingham",Birmingham,India,bat,Australia,1289259
Barbados,Pakistan,female,2022,2022/07/29,"Edgbaston, Birmingham",Birmingham,Pakistan,field,Barbados,1289260
New Zealand,South Africa,female,2022,2022/07/30,"Edgbaston, Birmingham",Birmingham,South Africa,field,New Zealand,1289261
Sri Lanka,England,female,2022,2022/07/30,"Edgbaston, Birmingham",Birmingham,Sri Lanka,bat,England,1289262
Pakistan,India,female,2022,2022/07/31,"Edgbaston, Birmingham",Birmingham,Pakistan,bat,India,1289263
Barbados,Australia,female,2022,2022/07/31,"Edgbaston, Birmingham",Birmingham,Australia,field,Australia,1289264
England,South Africa,female,2022,2022/08/02,"Edgbaston, Birmingham",Birmingham,South Africa,field,England,1289265
New Zealand,Sri Lanka,female,2022,2022/08/02,"Edgbaston, Birmingham",Birmingham,New Zealand,bat,New Zealand,1289266
Australia,Pakistan,female,2022,2022/08/03,"Edgbaston, Birmingham",Birmingham,Australia,bat,Australia,1289267
India,Barbados,female,2022,2022/08/03,"Edgbaston, Birmingham",Birmingham,Barbados,field,India,1289268
Sri Lanka,South Africa,female,2022,2022/08/04,"Edgbaston, Birmingham",Birmingham,South Africa,field,South Africa,1289269
New Zealand,England,female,2022,2022/08/04,"Edgbaston, Birmingham",Birmingham,New Zealand,bat,England,1289270
India,England,female,2022,2022/08/06,"Edgbaston, Birmingham",Birmingham,India,bat,India,1289271
New Zealand,Australia,female,2022,2022/08/06,"Edgbaston, Birmingham",Birmingham,Australia,field,Australia,1289272
England,New Zealand,female,2022,2022/08/07,"Edgbaston, Birmingham",Birmingham,England,bat,New Zealand,1289273
Australia,India,female,2022,2022/08/07,"Edgbaston, Birmingham",Birmingham,Australia,bat,Australia,1289274
Nepal,Qatar,female,2021/22,2021/11/16,"West End Park International Cricket Stadium, Doha",Doha,Qatar,field,Nepal,1289284
Nepal,Qatar,female,2021/22,2021/11/17,"West End Park International Cricket Stadium, Doha",Doha,Nepal,bat,Nepal,1289285
Nepal,Qatar,female,2021/22,2021/11/18,"West End Park International Cricket Stadium, Doha",Doha,Nepal,bat,Nepal,1289286
United States of America,Ireland,male,2021/22,2021/12/22,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,United States of America,bat,United States of America,1291187
Ireland,United States of America,male,2021/22,2021/12/23,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,United States of America,field,Ireland,1291188
Malaysia,Bangladesh,female,2021/22,2022/01/18,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Bangladesh,field,Bangladesh,1296027
Sri Lanka,Scotland,female,2021/22,2022/01/18,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Sri Lanka,bat,Sri Lanka,1296028
Bangladesh,Kenya,female,2021/22,2022/01/19,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Kenya,field,Bangladesh,1296029
Scotland,Malaysia,female,2021/22,2022/01/19,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Scotland,bat,Scotland,1296030
Kenya,Sri Lanka,female,2021/22,2022/01/20,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Sri Lanka,field,Sri Lanka,1296031
Scotland,Kenya,female,2021/22,2022/01/22,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Kenya,field,Scotland,1296032
Sri Lanka,Malaysia,female,2021/22,2022/01/22,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,field,Sri Lanka,1296033
Scotland,Bangladesh,female,2021/22,2022/01/23,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Scotland,bat,Bangladesh,1296034
Kenya,Malaysia,female,2021/22,2022/01/23,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Kenya,bat,Malaysia,1296035
Sri Lanka,Bangladesh,female,2021/22,2022/01/24,"Kinrara Academy Oval, Kuala Lumpur",Kuala Lumpur,Sri Lanka,bat,Sri Lanka,1296036
Namibia,Sri Lanka,male,2022/23,2022/10/16,"GMHBA Stadium, South Geelong, Victoria",Geelong,Sri Lanka,field,Namibia,1298135
United Arab Emirates,Netherlands,male,2022/23,2022/10/16,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,bat,Netherlands,1298136
Scotland,West Indies,male,2022/23,2022/10/17,"Bellerive Oval, Hobart",Hobart,West Indies,field,Scotland,1298137
Zimbabwe,Ireland,male,2022/23,2022/10/17,"Bellerive Oval, Hobart",Hobart,Ireland,field,Zimbabwe,1298138
Namibia,Netherlands,male,2022/23,2022/10/18,"GMHBA Stadium, South Geelong, Victoria",Geelong,Namibia,bat,Netherlands,1298139
Sri Lanka,United Arab Emirates,male,2022/23,2022/10/18,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,field,Sri Lanka,1298140
Scotland,Ireland,male,2022/23,2022/10/19,"Bellerive Oval, Hobart",Hobart,Scotland,bat,Ireland,1298141
West Indies,Zimbabwe,male,2022/23,2022/10/19,"Bellerive Oval, Hobart",Hobart,West Indies,bat,West Indies,1298142
Sri Lanka,Netherlands,male,2022/23,2022/10/20,"GMHBA Stadium, South Geelong, Victoria",Geelong,Sri Lanka,bat,Sri Lanka,1298143
United Arab Emirates,Namibia,male,2022/23,2022/10/20,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,bat,United Arab Emirates,1298144
West Indies,Ireland,male,2022/23,2022/10/21,"Bellerive Oval, Hobart",Hobart,West Indies,bat,Ireland,1298145
Scotland,Zimbabwe,male,2022/23,2022/10/21,"Bellerive Oval, Hobart",Hobart,Scotland,bat,Zimbabwe,1298146
New Zealand,Australia,male,2022/23,2022/10/22,Sydney Cricket Ground,Sydney,Australia,field,New Zealand,1298147
Afghanistan,England,male,2022/23,2022/10/22,Perth Stadium,Perth,England,field,England,1298148
Ireland,Sri Lanka,male,2022/23,2022/10/23,"Bellerive Oval, Hobart",Hobart,Ireland,bat,Sri Lanka,1298149
Pakistan,India,male,2022/23,2022/10/23,Melbourne Cricket Ground,Melbourne,India,field,India,1298150
Bangladesh,Netherlands,male,2022/23,2022/10/24,"Bellerive Oval, Hobart",Hobart,Netherlands,field,Bangladesh,1298151
Sri Lanka,Australia,male,2022/23,2022/10/25,Perth Stadium,Perth,Australia,field,Australia,1298153
Ireland,England,male,2022/23,2022/10/26,Melbourne Cricket Ground,Melbourne,England,field,Ireland,1298154
South Africa,Bangladesh,male,2022/23,2022/10/27,Sydney Cricket Ground,Sydney,South Africa,bat,South Africa,1298156
India,Netherlands,male,2022/23,2022/10/27,Sydney Cricket Ground,Sydney,India,bat,India,1298157
Zimbabwe,Pakistan,male,2022/23,2022/10/27,Perth Stadium,Perth,Zimbabwe,bat,Zimbabwe,1298158
New Zealand,Sri Lanka,male,2022/23,2022/10/29,Sydney Cricket Ground,Sydney,New Zealand,bat,New Zealand,1298161
Bangladesh,Zimbabwe,male,2022/23,2022/10/30,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Bangladesh,bat,Bangladesh,1298162
Netherlands,Pakistan,male,2022/23,2022/10/30,Perth Stadium,Perth,Netherlands,bat,Pakistan,1298163
India,South Africa,male,2022/23,2022/10/30,Perth Stadium,Perth,India,bat,South Africa,1298164
Australia,Ireland,male,2022/23,2022/10/31,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Ireland,field,Australia,1298165
Afghanistan,Sri Lanka,male,2022/23,2022/11/01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Afghanistan,bat,Sri Lanka,1298166
England,New Zealand,male,2022/23,2022/11/01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,England,bat,England,1298167
Zimbabwe,Netherlands,male,2022/23,2022/11/02,Adelaide Oval,Adelaide,Zimbabwe,bat,Netherlands,1298168
India,Bangladesh,male,2022/23,2022/11/02,Adelaide Oval,Adelaide,Bangladesh,field,India,1298169
Pakistan,South Africa,male,2022/23,2022/11/03,Sydney Cricket Ground,Sydney,Pakistan,bat,Pakistan,1298170
New Zealand,Ireland,male,2022/23,2022/11/04,Adelaide Oval,Adelaide,Ireland,field,New Zealand,1298171
Australia,Afghanistan,male,2022/23,2022/11/04,Adelaide Oval,Adelaide,Afghanistan,field,Australia,1298172
Sri Lanka,England,male,2022/23,2022/11/05,Sydney Cricket Ground,Sydney,Sri Lanka,bat,England,1298173
Netherlands,South Africa,male,2022/23,2022/11/06,Adelaide Oval,Adelaide,South Africa,field,Netherlands,1298174
Bangladesh,Pakistan,male,2022/23,2022/11/06,Adelaide Oval,Adelaide,Bangladesh,bat,Pakistan,1298175
India,Zimbabwe,male,2022/23,2022/11/06,Melbourne Cricket Ground,Melbourne,India,bat,India,1298176
New Zealand,Pakistan,male,2022/23,2022/11/09,Sydney Cricket Ground,Sydney,New Zealand,bat,Pakistan,1298177
India,England,male,2022/23,2022/11/10,Adelaide Oval,Adelaide,England,field,England,1298178
Pakistan,England,male,2022/23,2022/11/13,Melbourne Cricket Ground,Melbourne,England,field,England,1298179
Nepal,Oman,male,2021/22,2022/02/18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Nepal,1299566
Canada,Philippines,male,2021/22,2022/02/18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Philippines,field,Canada,1299567
United Arab Emirates,Ireland,male,2021/22,2022/02/18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,bat,United Arab Emirates,1299568
Germany,Bahrain,male,2021/22,2022/02/18,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,field,Bahrain,1299569
Canada,Oman,male,2021/22,2022/02/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman,1299570
Nepal,Philippines,male,2021/22,2022/02/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Philippines,field,Nepal,1299571
United Arab Emirates,Germany,male,2021/22,2022/02/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,bat,United Arab Emirates,1299572
